search_category,name,lat,lng,types,user_ratings_total,rating,place_id,vicinity,business_status,icon,opening_hours_open_now,price_level,plus_code_compound,plus_code_global,first_photo_reference,reference,scope,description
Night Club,Borburata,40.4404584,-3.67132,"night_club, point_of_interest, establishment",,,ChIJt8iR3tMpQg0RL-YgjX52txE,"Calle del Corazón de María, 4-6, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,,,"C8RH+5F Madrid, Spain",8CGRC8RH+5F,AVzFdblGHpc20Mz3BWKOw4fLKYSjwIe037xdwJz7UPyidpy-D_WUifSYwV1un5B0_Wl-9y3suGVtdXTTeyEsZMkh0wI22XMm0GVQJk7vqHbs3pGd8973wExvjogO-hopHXffnK_pc0zndYKF0-JKyRi7UwnRpQOUetGxROuD8HJpleF3_kIUJuBc718U,ChIJt8iR3tMpQg0RL-YgjX52txE,GOOGLE,
Night Club,Bardot Madrid,40.4460296,-3.6860583,"night_club, point_of_interest, establishment",197.0,3.3,ChIJMQZdE88pQg0RtrgdUrOciAs,"Calle de Joaquín Costa, 29, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"C8W7+CH Madrid, Spain",8CGRC8W7+CH,AVzFdblEoIpkThrwlvUYeVdbR1YA9M1-iV48p8WhpUM_pPI-01m-3bE9aDaSeNOydYc-TpA7Ohr2rDLNfcupeZRkqE01xq7F9dCQ9V2DvJAFPDOTQWORCVhV5IXgFaDQMOMYGJZp_s5xGaxm3jvoP8rVThaA2i-SY6u1KMfAJSGYwqa6ta0erASvnKbq,ChIJMQZdE88pQg0RtrgdUrOciAs,GOOGLE,
Night Club,Sala Bakán Madrid,40.4534682,-3.6579287,"night_club, point_of_interest, establishment",222.0,4.7,ChIJJ8LzMLcvQg0RUNerHVePanc,"Calle de Ángel Muñoz, 19, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"F83R+9R Madrid, Spain",8CGRF83R+9R,AVzFdbmKHlDNdbMhb9IAcwlvmpmIDtPfRcC0JNKbtoXLkjw81T_o5euHdx4e1NLuxFFZNIUG0wzQ8GyNDOsdNAa6Xs2U9fJ8xZ9aVsZ9VKVfRYxlV9XNwKkbQuEVpGJNKrvyruCu3weLZZUYzxcvyfGfhlqz5zNKsFlEB4LGAaZTCIJu4VUcTe_gDbqT,ChIJJ8LzMLcvQg0RUNerHVePanc,GOOGLE,
Night Club,San Juan,40.45075879999999,-3.6576954,"bar, night_club, restaurant, food, point_of_interest, establishment",403.0,4.5,ChIJ3SBn5SsvQg0Rri45Lb2zRMY,"Calle Cidamón, 3, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,1.0,"F82R+8W Madrid, Spain",8CGRF82R+8W,AVzFdbm5Tr1ZorYwbaKi-3KfmeYScfwuIfkAX6fL9XLhSJCmtsTfb_0YgB6roL-Cf02rsfTmBKDBn9ObblBAkYG6KIMITCbSXjMRPD99qk6pmCfEG_KciAfDSp8nnfhxsKGTriOR50vjJMaOKFKrIxcAJJiUlqVXIhSm09vNIHYzBGeMbv-s5jAe9C6p,ChIJ3SBn5SsvQg0Rri45Lb2zRMY,GOOGLE,
Night Club,Utopia Madrid,40.4535933,-3.657735699999999,"night_club, point_of_interest, establishment",8.0,3.9,ChIJ6cwBIyovQg0RoNn3phNztUA,"Calle de Agastia, 115, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"F83R+CW Madrid, Spain",8CGRF83R+CW,,ChIJ6cwBIyovQg0RoNn3phNztUA,GOOGLE,
Night Club,Tortilla Madrid,40.446191,-3.686574100000001,"night_club, point_of_interest, establishment",28.0,3.9,ChIJTZdRmIcpQg0RUCkdIfp5pH4,"Calle de Joaquín Costa, 27, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"C8W7+F9 Madrid, Spain",8CGRC8W7+F9,AVzFdbkyk-TH29mwAg_RpEbFYUlt6D6lzFltAuGpZ8rJU5o07vUxR_vY_191bDEA_BmeScuzi8GXwzkDcGAlgifPIHHPFIGTBnSDNClZ8Ml7HDIp7GVpzgOQM3MgWRnB1TqQ98liUChn2WBRxPgs8l6rRCin0oYJseaht3zO525sSiDEGCL939mu8AGq,ChIJTZdRmIcpQg0RUCkdIfp5pH4,GOOGLE,
Night Club,High Club,40.44619549999999,-3.6866744,"night_club, point_of_interest, establishment",105.0,3.5,ChIJpQ3LyFEpQg0R-0GJ3Afnnxs,"Calle de Joaquín Costa, 27, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"C8W7+F8 Madrid, Spain",8CGRC8W7+F8,AVzFdblC3SA03HeefUGtv4SC_uzC8afdmxAeFO6pMwqt1TmM0OxpDM4yBofQOQIQDOHSihMQOigObEfiAB5lnAheX5lM-E-CUV1ZicEliP-w_XqhgWSiFg3QAlJ0qZa1tPiMho1R0pylevKYCAR7zDQ9ylVuHQB506nK5545fQ9P1zb-Oy8lKsBPlFYr,ChIJpQ3LyFEpQg0R-0GJ3Afnnxs,GOOGLE,
Night Club,Malicia club night,40.4557013,-3.6892097,"night_club, point_of_interest, establishment",8.0,5.0,ChIJtVa3WdUpQg0RlMorhfYaEiA,"Calle de Manuel de Falla, 3, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,False,,"F846+78 Madrid, Spain",8CGRF846+78,AVzFdbmpwgK_IQoEXov9ZWLtFtdhVda47vPAiqDLFbIzH_hK07gbzt0CA5R-BToEkfSSMOYvyDTTumISuQ1Uj_NLanhjYgpDdjxQR74fHCJxYeG1Y4HSMM3RN3q5xhS6cNjXXgOZg25hb3-7wKdM7NWdmn7tejIIhIFZ7_ZbU7MQ-QbKXhoEAnV04oSU,ChIJtVa3WdUpQg0RlMorhfYaEiA,GOOGLE,
Stadium,AD Orcasitas,40.3671102,-3.7114634,"stadium, point_of_interest, establishment",1.0,5.0,ChIJ____cwYnQg0RamO8O0PQ8fU,"Avenida de Rafaela Ybarra, 119, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,,,"978Q+RC Madrid, Spain",8CGR978Q+RC,AVzFdbmyMTTnHrIJa2FfAtg7rSIuVSq_PAS3oaejp1DJjQcGRcMGFJJeT1A51UokSAjfVYjt9eg2NYOhm1EmWPzPvfzipQhkRxBdFePvZIBI31sMPt4zskiNloaRhoDuplJO54c-3Cg0z0ECWX7ybKYej9KjQ2QCtTHsO3n_D27CvtXKaNNMWcLT-JiA,ChIJ____cwYnQg0RamO8O0PQ8fU,GOOGLE,
Stadium,FGC Arena,40.40317409999999,-3.7241185,"stadium, point_of_interest, establishment",16.0,4.9,ChIJdVoNIW4nQg0RKzndqcZsLko,Madrid,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,,,"C73G+79 Madrid, Spain",8CGRC73G+79,,ChIJdVoNIW4nQg0RKzndqcZsLko,GOOGLE,
Stadium,CroqueStadium,40.3889642,-3.712340199999999,"stadium, point_of_interest, establishment",12.0,4.6,ChIJHcB-0H4nQg0RUR6mL25c7lg,Madrid,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,,,"97QQ+H3 Madrid, Spain",8CGR97QQ+H3,AVzFdbmC9zcLku5twImosjxjabFm2rqMLCeA1tF1a4KTPJqVgTbYnQzPtr1l8Iyb_3Ia-S72u6HYdJX3KGBdJtC2LaIucl2xKLMgf9FJOagPNMBGQuBGxBXhzOtUgj6Tkvd3jpoGqOi4F0MoIzIibfKD4nPJGrWToMZazr68C3mrBvLBhvuMvakgoXXM,ChIJHcB-0H4nQg0RUR6mL25c7lg,GOOGLE,
Stadium,Estadio de Vallecas,40.392062,-3.658707499999999,"stadium, point_of_interest, establishment",5772.0,4.2,ChIJS3W43dglQg0R2CSId8cJan8,"Calle del Payaso Fofó, 0, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,,,"98RR+RG Madrid, Spain",8CGR98RR+RG,AVzFdbn4n6l--aoqOzRfS48qDk83qHXPhw28xhqG4OadD5bwDKaONfFrSrhDHn31NrAtdsmJC-130MST1LTFYx12wpMcOpSEzNLKDvxvkgjtD8rIPkrJxNLHD77jUfrFEr9teyf96JHsTQTAmr-SvJG0Em1VIX-YBCMq11msutqwKzFltXCgJ_wFzlaT,ChIJS3W43dglQg0R2CSId8cJan8,GOOGLE,
Stadium,Estadio Lil Chorizo,40.3910576,-3.658881099999999,"stadium, point_of_interest, establishment",,,ChIJI855OQAlQg0RlDmJQayLfdQ,"Calle del Arroyo del Olivar, 49, Madrid",OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/stadium-71.png,,,"98RR+CC Madrid, Spain",8CGR98RR+CC,,ChIJI855OQAlQg0RlDmJQayLfdQ,GOOGLE,
